id,age,checking_status,class,credit_amount,credit_history,duration,employment,existing_credits,feat01,feat02,feat03,feat04,feat05,feat06,feat07,feat08,feat09,feat10,foreign_worker,housing,installment_commitment,job,num_dependents,other_parties,other_payment_plans,own_telephone,personal_status,property_magnitude,purpose,residence_since,savings_status
19,23,'no checking',good,714,'existing paid',6,'4<=X<7',1,0.5401651747500807,0.5107526614930199,1.1498233542057887,0.724225260913589,0.6106351951717799,1.0781137804639467,1.5421207550638765,1.2683284917145992,0.48489179508362956,0.36820409962121015,yes,rent,2,'unskilled resident',1,none,none,none,'male mar/wid','real estate',repairs,4,'500<=X<1000'
20,28,'>=200',good,1528,'critical/other existing credit',6,'>=7',2,0.2908577016656148,0.5499357543624201,0.5593834360101162,0.6850998969205466,0.7889812256499009,0.5038785444742038,1.1735629266425671,0.4759041154119268,1.1144518073134793,0.33218059188543503,yes,own,2,skilled,2,none,none,yes,'male div/sep',car,'new car',4,'100<=X<500'
21,25,'no checking',bad,8129,'critical/other existing credit',36,'1<=X<4',2,0.446947294130962,0.44814402359848365,0.7911950150718384,1.5084917329471015,1.2893462098689672,1.426776332799551,0.6978222445712374,1.182606471905444,0.634800164243146,0.5556713217775464,yes,own,4,skilled,1,none,stores,yes,'female div/dep/mar','real estate','new car',2,'<100'
22,30,'0<=X<200',good,1687,'existing paid',6,'<1',1,0.38236883869299315,0.6937158149380347,1.265694322823351,0.6766532771973112,0.7224928631094295,0.9863203919998019,1.4028109296685127,1.379284784026399,1.4368215664475934,0.4829830056998067,yes,rent,4,'high qualif/self emp/mgmt',1,none,none,yes,'male mar/wid',car,radio/tv,3,'<100'
23,75,'<0',good,1049,'existing paid',6,unemployed,1,0.21397412269034696,0.5919875855315991,0.7895066271386606,1.0327116336408135,0.6673684878531755,1.2033603753019428,0.8634066738816658,0.648942256968381,0.9021005649393719,0.8324890369174068,yes,own,4,'high qualif/self emp/mgmt',1,none,none,yes,'female div/dep/mar','life insurance','new car',3,'no known savings'
24,20,'<0',bad,1189,'existing paid',12,'1<=X<4',1,0.24384269325284322,0.34993468184888527,0.962966351527935,1.0170875219499043,0.5627870711447402,0.8822119025090753,0.6010906275965169,0.2899661841941841,1.4008496999715694,0.3771774897872394,yes,rent,2,skilled,1,none,none,none,'female div/dep/mar',car,furniture/equipment,4,'<100'
25,59,'no checking',good,5073,'critical/other existing credit',15,'>=7',1,0.6822998805713544,0.4235183419810043,0.9710329205464672,1.3273004605568626,1.4407310679083793,1.1334641036649797,0.6896505219825697,1.5838404455405213,1.0648990687124833,0.4158457765859075,yes,own,1,skilled,1,none,none,yes,'female div/dep/mar',car,'new car',4,'no known savings'
26,26,'no checking',good,3013,'delayed previously',33,'1<=X<4',2,0.14239856799784373,0.7138287896875217,0.9859828425376833,0.8399743088259537,1.3794016908707198,0.8768728054852868,1.2420385829330605,0.6451257351735094,1.2789070129379745,0.5659831497487919,yes,own,2,skilled,1,none,none,yes,'female div/dep/mar',car,business,2,'<100'
27,29,'no checking',good,1980,'existing paid',24,'1<=X<4',1,0.34767424342859393,0.5179492127334312,1.5250912150048,1.4663365501378045,1.197306640107653,1.2282236510458642,0.8474098194514343,1.1407048019392674,1.2763946457412016,0.6213028139895738,yes,rent,4,'high qualif/self emp/mgmt',1,none,none,yes,'male single',car,radio/tv,4,'100<=X<500'
28,27,'<0',bad,1070,'existing paid',18,unemployed,1,0.736864207764196,0.31594933933579833,1.4757724950299125,0.33578745900028334,0.7250208970103086,1.329491606814005,0.7514458113366922,0.7846854047391496,1.1064952266482024,0.44314873177478453,yes,own,4,'unemp/unskilled non res',1,none,none,none,'female div/dep/mar','real estate',education,1,'<100'
29,65,'<0',bad,2814,'existing paid',18,'1<=X<4',2,0.631818044197935,0.5397773354482545,1.1121678072811858,1.3377776046419856,1.0696715278271727,1.39666698315299,0.5224048008060354,0.9863801951557353,0.8172853625720302,0.47557952694908,yes,'for free',4,skilled,1,none,none,none,'male single','no known property',radio/tv,4,'<100'
30,31,'no checking',good,3398,'existing paid',18,'1<=X<4',1,0.43679674266359914,0.5499893494592137,0.6576590973100788,0.7400981650231988,0.7462547040986871,1.14413504456625,1.4610559708080455,0.9452041344551743,1.179203676080732,0.5923649954290351,yes,own,2,skilled,1,none,none,yes,'male single','life insurance','used car',1,'no known savings'
31,23,'<0',bad,4169,'no credits/all paid',24,'>=7',2,0.4903875028394454,0.18373488702538682,1.098290424183934,0.6398503134258431,0.6190975067384956,1.4158900968584687,0.944227228736867,1.3059648868294054,0.37717234131346583,0.6659888609316722,yes,rent,3,skilled,2,none,bank,none,'male single','no known property',furniture/equipment,4,'<100'
32,24,'<0',good,2267,'existing paid',12,'1<=X<4',1,0.6665533760216555,0.6402803980813391,1.2619111640525498,1.1529768309173278,0.6876691698143634,1.1400010350440173,0.9492161792122056,0.5675906458414133,0.45991244060198744,0.49626255964647836,yes,own,4,'unskilled resident',1,none,none,none,'male single','life insurance',radio/tv,3,'<100'
33,39,'0<=X<200',good,1021,'existing paid',12,'4<=X<7',1,0.6799760099700459,0.5093786584982567,0.8209813289594673,0.4596986902133807,0.9977312502120969,1.1137808515649765,1.4641920991452482,0.8515732149570318,0.6847103646405421,0.5494887358281189,yes,own,3,'unskilled resident',1,none,none,none,'male single','real estate',business,4,'100<=X<500'
34,44,'<0',bad,2068,'all paid',18,'1<=X<4',1,0.4182931209158863,0.3931170787481919,0.6490491038360345,1.403223284610464,0.6474270588401306,0.7738706218776594,0.16437118725153627,1.4798305302871815,1.195040623161914,0.6374386776356895,yes,own,4,skilled,1,none,bank,none,'male single',car,furniture/equipment,3,'<100'
35,25,'no checking',good,5937,'critical/other existing credit',30,'4<=X<7',2,0.6051418830370638,0.5219470502756136,0.39618266123481893,1.1256763086235253,0.8285132138363422,0.6575280763801801,0.9155035488487991,1.233199280572369,0.9185997954340058,0.5665888752441863,yes,own,4,skilled,1,none,none,none,'female div/dep/mar',car,radio/tv,2,'<100'
36,28,'0<=X<200',bad,5627,'critical/other existing credit',30,unemployed,2,0.37454171208887205,0.7404292264962099,1.440102881193428,0.47679835967693307,0.6494419685723812,1.5016739101280803,0.5803597330289797,0.9510573555439249,1.2967985236230586,0.29581957438316187,yes,own,4,'high qualif/self emp/mgmt',1,none,none,none,'male mar/wid',car,'new car',2,'<100'
37,43,'<0',good,1122,'existing paid',6,'>=7',1,0.4757184929191109,0.5560008691224633,1.447366442866444,0.571473373210328,0.621438538766315,1.0633250065829785,1.223919151694552,0.6429636732344861,0.5873027449229776,0.5977063965222332,yes,own,3,skilled,1,none,none,yes,'male single','life insurance','new car',2,'100<=X<500'
38,43,'<0',good,15740,'existing paid',36,unemployed,1,0.3051824064391135,0.7210982721202636,0.9043332691494539,0.9874392702946283,1.198359177457908,0.6326562013634459,0.8854901976640427,0.5698042012904377,0.7488181302296817,0.6239840054719012,yes,own,2,'high qualif/self emp/mgmt',1,'co applicant',none,none,'male div/sep',car,other,3,'<100'
39,33,'no checking',good,1800,'existing paid',18,'<1',1,0.4938678626749692,0.6025193984566268,1.156814845339028,0.32136073023396167,0.8505106013191205,1.2987756310215333,0.6826791263917353,0.5868441806017574,1.1736697332022517,0.35258804392440335,yes,own,4,skilled,1,none,none,none,'male single','real estate',radio/tv,1,'<100'
40,30,'0<=X<200',bad,1191,'critical/other existing credit',18,'>=7',2,0.501002216228576,0.8839129110322698,1.0661979531750725,1.6500494472349132,1.0041726577371104,1.2620048875469363,0.7558449091550793,1.0614819442846835,0.6796830392252604,0.2568776064198318,yes,own,3,skilled,1,guarantor,bank,none,'male single','real estate','new car',3,'<100'
41,25,'<0',good,1375,'critical/other existing credit',15,'1<=X<4',2,0.4866114399266561,0.5008111091851909,1.0831087461098623,1.254472191434866,1.2505987546873347,0.7878690809421337,0.9734891185470769,1.3223447622410598,1.3122940556123044,0.47189146341203947,yes,rent,4,skilled,1,none,none,none,'female div/dep/mar','life insurance',furniture/equipment,3,'<100'
42,44,'0<=X<200',good,735,'existing paid',8,'4<=X<7',1,0.3672785285032553,0.5670835218784799,1.3565104113648625,0.5923612093868799,0.4536411933047304,0.5256531855542766,0.8130979595528409,0.8777363281835076,0.6625957647374978,0.5828522181968012,yes,own,4,'unskilled resident',1,guarantor,none,none,'female div/dep/mar','real estate',radio/tv,2,'<100'
43,26,'0<=X<200',good,1308,'existing paid',12,'1<=X<4',1,0.38672135587182105,0.6964067149314357,0.6613236332787182,1.6214433176275607,0.5804300347273345,1.1851666174650783,0.6205026110981553,0.7197962493267583,0.3669394050923104,0.5364491764891337,yes,own,3,skilled,1,none,none,yes,'male div/sep',car,radio/tv,1,'500<=X<1000'
44,46,'>=200',good,2272,'existing paid',12,'1<=X<4',1,0.41244930497566673,0.5481304672117542,1.8562038195354948,1.0143866643254933,0.8177569802132327,1.1243342256211235,1.112336613377973,1.2061835616228442,1.4149954627795704,0.331563088732415,yes,own,1,'unskilled resident',1,none,none,none,'female div/dep/mar',car,furniture/equipment,2,'<100'
45,27,'0<=X<200',good,4316,'critical/other existing credit',45,unemployed,1,0.19600819483393175,0.4979606338182882,0.7519531197999996,1.4322907039777264,0.6604231953048595,0.8938057901588398,0.9371317885066441,0.36666128474552195,0.4768360866525805,0.7408585226523827,yes,own,3,skilled,1,none,none,none,'male single',car,'used car',4,'100<=X<500'
46,25,'0<=X<200',bad,4750,'critical/other existing credit',24,'<1',1,0.833648313790649,0.5199598486154534,0.796276345542164,1.0322490002121016,0.6649904022786308,0.5760780509661287,0.5028335332980165,0.8470286265948869,0.8444845647898136,0.3352329337030491,yes,own,2,'unskilled resident',1,none,bank,none,'female div/dep/mar',car,furniture/equipment,4,'<100'
47,27,'no checking',good,5560,'critical/other existing credit',24,'1<=X<4',2,0.19560230195894215,0.5095386939400866,1.1695221626902894,1.2561897268472249,0.6553288868745171,0.7618478756820302,0.6395669864963708,0.642415291147857,0.7225457179604684,0.7133754744761469,yes,own,4,skilled,1,none,none,none,'male single','real estate','used car',2,'>=1000'
48,44,'no checking',bad,5741,'existing paid',24,'<1',2,0.4782353644873644,0.3555177022280918,0.7115198273759988,0.8859883305346419,1.0900590337163911,0.38472847447515834,0.7317791813176909,0.9432131333462076,0.8953033147654365,0.3622541571166342,yes,own,1,skilled,1,none,none,yes,'female div/dep/mar',car,radio/tv,1,'no known savings'
49,23,'0<=X<200',bad,15624,'existing paid',48,'1<=X<4',1,0.6954968807211831,0.5948198516611907,1.1652416193536903,0.6025093746842687,0.5350013744114391,1.1560926964665292,1.2922412522567366,0.6590618286539868,1.3993470671529455,0.28379646131198577,yes,own,2,skilled,1,none,none,yes,'male single',car,business,2,'<100'
50,32,'0<=X<200',bad,682,'critical/other existing credit',9,'>=7',2,0.3276205508622813,0.4250024637991263,0.5266298260014677,0.5982437740905527,0.7216864936412032,0.5218557194618897,1.2593305799582493,0.6415000884611727,0.8387099451427475,0.42284522090441845,yes,'for free',4,skilled,2,none,none,none,'male single','no known property',education,3,'>=1000'
51,20,'>=200',good,3456,'critical/other existing credit',24,'>=7',2,0.35177770913044665,0.6082864012117032,1.4263478464747688,0.909831949748098,0.8489875390947808,0.8722946801062299,0.6056260789623018,0.758122851581333,1.3436227320775007,0.542657545564591,yes,rent,4,skilled,1,'co applicant',none,none,'male single','no known property',furniture/equipment,4,'no known savings'
52,27,'no checking',good,1050,'critical/other existing credit',6,'1<=X<4',2,0.6682941347234624,0.5031401832247584,1.3824764627428396,0.7608810563839371,0.6458561373571625,1.5914127331068302,0.8079949288758241,0.4354184399019426,0.5301606452207348,0.6091100644641636,yes,own,1,skilled,1,none,none,none,'male mar/wid','life insurance',furniture/equipment,2,'no known savings'
53,25,'0<=X<200',bad,1293,'existing paid',24,'<1',1,0.4451082119268153,0.5306810862375905,0.7496580414546297,1.2990938793352258,0.9544550716914549,0.7306712544585143,0.6914323616247788,1.7194988243872484,1.1185009601098546,0.34283903401833926,yes,own,3,'unskilled resident',1,none,none,yes,'female div/dep/mar',car,'new car',4,'<100'
54,36,'no checking',good,2598,'critical/other existing credit',24,'>=7',1,0.2559183530409799,0.5854732621395977,0.5794662924157065,0.9054848443801833,1.340875808420471,0.5712290064705463,0.8720247956913493,1.1199717242340017,0.9080135626563846,0.7125040614160936,yes,own,3,skilled,2,none,none,yes,'male single','real estate',radio/tv,4,'100<=X<500'
55,25,'<0',bad,2254,'existing paid',18,'1<=X<4',2,0.27987373466791415,0.4788750788510458,0.8324226081042774,1.0306428149525018,1.001330898664842,1.308736285215284,0.5192366680887688,0.7201587169797564,1.2185848181203331,0.34788620037085094,yes,rent,4,skilled,1,none,bank,none,'female div/dep/mar',car,radio/tv,4,'<100'
56,24,'0<=X<200',good,5712,'critical/other existing credit',24,'<1',2,0.16260613347928954,0.5617356685005259,0.7794035233638354,0.7497985910220901,1.4931392079883476,0.6495930457153377,1.4369749965878067,1.0013462369047113,0.6960542141156318,0.35824466583645553,yes,'for free',2,skilled,1,none,none,yes,'female div/dep/mar','no known property',education,4,'<100'
57,26,'0<=X<200',good,763,'existing paid',8,'<1',1,0.44758300433646053,0.6936500327451838,1.31312248279163,0.4643759892114518,0.42547697053210165,0.4073908276302841,0.3556996317630274,1.3537243530824647,0.545666729990562,0.4488996288977115,yes,own,3,skilled,1,none,none,yes,'male mar/wid','real estate',business,2,'<100'
58,35,'<0',good,4169,'existing paid',18,'1<=X<4',1,0.5044608437513477,0.6275410249532091,1.1320222316172124,0.5097352857917165,0.6824714142055005,0.9474267287531308,1.4419458245106902,1.2084560647053686,1.2291676813191237,0.7831460929732962,yes,own,3,'unskilled resident',2,none,none,yes,'male single',car,'new car',4,'100<=X<500'
59,53,'<0',bad,7001,'no credits/all paid',48,'1<=X<4',2,0.5056679851875656,0.5304601274517875,1.0728358400077644,1.320067925841419,0.6718764747218352,0.7743441740362369,1.2001571774051363,1.0937762802572648,0.7300721408499682,0.5906396166824487,yes,'for free',3,skilled,2,none,none,none,'male single','no known property',furniture/equipment,4,'<100'
60,26,'<0',bad,763,'existing paid',12,'4<=X<7',1,0.5579676063823331,0.4382937494179321,1.2670163796100724,1.3785564216650086,0.534886632674161,1.0187281150847052,0.6302729041960902,1.4555879197049744,0.6674179341973079,0.4418921079913086,yes,own,4,skilled,1,none,none,none,'male single','real estate','new car',2,'<100'
61,28,'0<=X<200',bad,2235,'no credits/all paid',18,'<1',2,0.5157525129137305,0.48545234244404467,0.6860434641615021,1.0578968635428163,0.8137618216308533,1.1667107058171835,0.6288043738538536,0.7237983855225337,1.0218032083641253,0.5336752170692661,yes,own,3,skilled,1,none,none,none,'female div/dep/mar',car,'new car',3,'100<=X<500'
62,43,'0<=X<200',bad,3945,'existing paid',24,'4<=X<7',1,0.4224794766694162,0.4683554350491299,0.8016788438848483,0.884242746386727,1.1104288323366611,0.40716001766496274,1.1222903065280572,1.623567986524478,0.3132789697700644,0.4481240318524007,yes,own,3,skilled,1,none,none,yes,'male div/sep',car,furniture/equipment,3,'<100'
63,57,'no checking',good,1240,'critical/other existing credit',12,'>=7',1,0.5106502271859433,0.45840479609903595,0.8650305308480217,0.4729050667382658,1.4976886978946968,1.3295506651750042,0.7257110704702462,1.009933554055207,0.8358456195171685,0.5175010252952733,yes,rent,4,'unskilled resident',1,none,none,none,'male single','no known property',business,4,'no known savings'
64,36,'0<=X<200',good,1805,'existing paid',18,'<1',1,0.5284927110357132,0.7513931384940532,1.357228834806251,0.8029646887176789,1.3887616693019473,0.6444885950667452,0.7230481920771183,0.8197548822995359,1.3565623199713501,0.4473850449021676,yes,own,3,skilled,1,none,bank,yes,'male mar/wid','real estate',business,3,'>=1000'
65,31,'<0',good,3413,'no credits/all paid',18,'4<=X<7',1,0.46230678925737373,0.4802080101540218,1.002115123547144,0.3315050457215218,0.9933248263329664,1.178374009531259,1.07004715599324,1.4014473646046854,0.4273346258872336,0.6702036566173215,yes,own,3,skilled,1,none,bank,yes,'male single','life insurance',business,1,'<100'
66,54,'<0',good,1467,'critical/other existing credit',12,'>=7',1,0.359539376767637,0.6339931421786388,1.501009235922849,0.4575629460098535,1.3171439174329325,1.4102994744877522,1.020144185812474,1.027694491713173,1.1806043423929484,0.40738552931239036,yes,own,4,skilled,1,none,none,none,'male single','real estate','used car',3,'<100'
67,27,'0<=X<200',good,4164,'critical/other existing credit',45,unemployed,1,0.3389390639466676,0.4532713545802868,1.3819333613717413,0.5114509691543802,0.8066241666382066,1.0568715610636952,1.1584998962433668,1.3089941372593104,1.4693087471105803,0.5165374708896735,yes,own,3,skilled,1,none,none,none,'male single',car,'used car',4,'100<=X<500'
68,46,'>=200',good,1318,'critical/other existing credit',6,'>=7',2,0.6839766012404266,0.5275744432283518,1.251891276557295,1.5951600175608425,1.0946119678392998,1.067389577622663,1.1456607901025149,0.47450830733071747,0.6711301711143491,0.660588581365688,no,own,1,skilled,2,none,none,none,'male single','real estate','new car',4,'<100'
69,25,'0<=X<200',good,839,'existing paid',9,'>=7',1,0.6044922185156106,0.4807617856305959,0.32841637437183385,0.8127995846460774,0.7005787758341878,0.9538529668553374,0.7578886580895966,0.6777826223757619,1.3945187777478811,0.24132518068500874,yes,own,4,skilled,1,none,none,none,'female div/dep/mar','real estate',radio/tv,4,'<100'
70,46,'no checking',good,3286,'delayed previously',15,'<1',2,0.3045014770343218,0.5721325056753105,1.3637802296825887,0.9276643148513349,1.0026915710102386,1.4296585666034476,1.1134564957679274,1.0396252858238872,0.32940433711071637,0.5928611041426979,yes,own,1,'unskilled resident',1,none,none,none,'female div/dep/mar','life insurance','used car',2,'<100'
71,27,'0<=X<200',good,9270,'delayed previously',60,'1<=X<4',1,0.3585495472657836,0.7783460287594142,0.8929948724496402,0.4460662623686022,0.5031226384452085,0.7812496784589085,1.3116159528266305,0.4129729172464915,1.219321692766437,0.6811887209175875,yes,'for free',2,'high qualif/self emp/mgmt',1,none,none,none,'male single','no known property',radio/tv,2,'no known savings'
72,41,'no checking',bad,2603,'delayed previously',21,'<1',1,0.6598330214164524,0.641618029835758,1.210156962863638,0.9394259625982017,1.0079497734667442,0.7192930072924781,0.9651567126250808,1.190348092626023,0.5679737855248025,0.59915104331535,yes,own,4,'unskilled resident',2,none,bank,none,'male single','real estate',business,2,'500<=X<1000'
73,28,'no checking',bad,2113,'delayed previously',18,'1<=X<4',1,0.39366005393469017,0.2621716969711897,1.2827631766719056,0.7451139281535203,0.8010578883765265,1.3362976352569884,0.435511289263301,1.3283675862346014,1.0610672626517803,0.481453400190305,yes,own,4,skilled,1,none,none,yes,'male mar/wid',car,business,2,'<100'
74,24,'0<=X<200',bad,6407,'existing paid',48,'4<=X<7',1,0.5321657336864325,0.5148954035003015,1.413341780279195,0.7161700966989379,0.43848215520579575,0.4124421819448507,1.3783729829151654,1.3990848089066465,1.217227664612033,0.430551200996238,yes,own,3,skilled,1,none,none,none,'male single','life insurance','new car',2,'100<=X<500'
75,35,'no checking',good,915,'critical/other existing credit',12,'>=7',2,0.45161864195754725,0.5965659059029873,1.0550898455416253,1.2617639294697718,0.9057455265641261,1.4118304261510053,1.075953119244099,1.278489130101525,0.48764313057258696,0.6203407105749748,yes,own,4,skilled,1,none,none,none,'male single',car,radio/tv,4,'no known savings'
76,42,'0<=X<200',bad,6603,'existing paid',60,'1<=X<4',1,0.5536994188097029,0.5583625327443644,0.8447552828572076,1.416174450839999,1.3248537672174776,0.6631962160249547,0.8138002720056128,0.7738747876792686,0.695918426174076,0.4286907040070711,yes,'for free',4,skilled,1,none,none,none,'male single','no known property',education,4,'<100'
77,26,'<0',good,5177,'existing paid',48,'4<=X<7',1,0.4216760249802378,0.6539859652762446,1.2174406130629165,0.8568742543655505,1.3725353494203545,1.4873095994219403,0.9665817818782829,0.6385123694253879,1.0814787163060338,0.4872725865158778,yes,own,4,skilled,2,none,none,none,'male single','life insurance','used car',3,'<100'
78,47,'<0',bad,8312,'existing paid',36,'>=7',1,0.516403686205553,0.7556647656458899,0.8198584960902614,0.5029388461154389,0.345443607223091,0.6761139796937283,1.4227052447401147,1.5570815104873414,0.8712142052188636,0.45148381208276767,yes,'for free',3,skilled,1,none,none,none,'male single','no known property','used car',4,'no known savings'
79,19,'0<=X<200',good,803,'existing paid',12,'<1',1,0.24496693109057763,0.5618786394088696,1.1957807424296147,0.8985785588675912,1.1313993913535532,1.12831467049457,1.2890607642639282,0.5336444184584468,1.0317431510183197,0.3269599473431848,yes,rent,1,'unskilled resident',1,none,none,none,'female div/dep/mar','real estate',furniture/equipment,4,'>=1000'
80,45,'<0',good,250,'all paid',12,'>=7',1,0.40800016627903685,0.5469349100162516,0.7585743051481455,1.6977388714524215,0.520579902448921,0.7817481323205446,0.8632891941565861,1.4827574000032446,1.1335724567310512,0.5228748443253155,yes,own,4,'unskilled resident',1,none,bank,none,'male mar/wid',car,retraining,1,'<100'
81,51,'<0',bad,7541,'existing paid',18,'>=7',1,0.5990453200878573,0.6471240948720735,0.6606112695068829,1.546523498051964,1.3492021578948787,1.4941900725330504,1.1399180013171195,0.495401756911768,1.2529381764803107,0.4563619832085203,yes,'for free',1,skilled,2,none,none,yes,'male single','life insurance','used car',4,'no known savings'
82,22,'0<=X<200',bad,3284,'existing paid',24,'<1',1,0.410272450783037,0.5989697051307958,1.2762884550921265,1.207254480262809,0.8724183059983379,0.8223576217098622,0.6011391371414071,0.6586596712745276,1.0594049858798333,0.4240499103516917,yes,rent,3,skilled,1,none,none,yes,'male mar/wid',car,radio/tv,2,'100<=X<500'
